CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IZ,815,ARKIA  ISRAELI  AIRLINES,2025-06-21T14:20:00,2025-06-21T14:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,077,ARKIA  ISRAELI  AIRLINES,2025-06-21T14:50:00,2025-06-21T14:50:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1163,ARKIA  ISRAELI  AIRLINES,2025-06-21T15:00:00,2025-06-21T15:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,275,ARKIA  ISRAELI  AIRLINES,2025-06-21T15:35:00,2025-06-21T15:35:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,CANCELED,מבוטלת
BZ,753,BLUE BIRD AIRWAYS,2025-06-21T16:00:00,2025-06-21T16:00:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1842,ARKIA  ISRAELI  AIRLINES,2025-06-21T16:00:00,2025-06-21T16:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,612,ARKIA  ISRAELI  AIRLINES,2025-06-21T16:20:00,2025-06-21T16:20:00,A,SEZ,MAHE SEYCHELLES INTL,מאהה,MAHE SEYCHELLES,איי סיישל,SEYCHELLES,3,,,CANCELED,מבוטלת
IZ,368,ARKIA  ISRAELI  AIRLINES,2025-06-21T16:30:00,2025-06-21T16:30:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-06-21T17:00:00,2025-06-21T17:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,1843,ARKIA  ISRAELI  AIRLINES,2025-06-21T17:00:00,2025-06-21T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,816,ARKIA  ISRAELI  AIRLINES,2025-06-21T17:10:00,2025-06-21T17:10:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,079,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:00:00,2025-06-21T18:00:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1164,ARKIA  ISRAELI  AIRLINES,2025-06-21T18:00:00,2025-06-21T18:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
